"Form of payment","Forma de Pagamento"
"Shipping Method","Forma de Entregas"
"Security and Certification","Segurança e Certificação"
"Safe Internet","Internet Segura"
"Ebit Assessment","Ebit Avaliação"
"Create your virtual store with the best e-commerce company in Brazil","Crie sua loja virtual com a melhor empresa de e-commerce do Brasil"
"Ticket","Boleto"
"Deposit","Depósito"
"My account","Minha Conta"
"Institutional","Institucional"
"Contact","Contato"
"Questions","Dúvidas"
"Personal data","Dados pessoais"
"Change Password","Alterar senha"
"My requests","Meus pedidos"
"Delivery address","Endereço de entrega"
"About Us","Sobre a empresa"
"Our products","Nossos produtos"
"Work with us","Trabalhe conosco"
"Discover our store","Conheça nossa loja"
"Localization","Localização"
"Email","E-mail"
"Doubts","Dúvidas"
"Shipping methods","Formas de envio"
"Payment methods","Formas de pagamento"
"Guarantee and security","Garantia e segurança"
"Budgets","Orçamentos"
"Register in our","Cadastre-se em nossa"
"win","ganhe"
"10% off","10% de desconto"
"in the first purchase.","na primeira compra."
"Type your e-mail","Digite seu email"
"Type your name","Digite seu nome"
"Send","Enviar"
"Free shipping","Frete grátis"
"on purchases over BRL 200.00","nas compras acima de R$ 200,00"
"10% discount","10% desconto"
"by bank slip or deposit","no boleto ou depósito bancário"
"Installment","Parcelamento"
"up to 12 installments without interest on the card","em até 12x sem juros no cartão"
"100% safe","100% seguro"
"here you can trust","aqui você pode confiar"
"Add to Cart","Comprar"
"Search entire store here...","digite aqui sua pesquisa"
"Sign","Faça"
"in","login"
"Or","Ou"
"Register","Cadastre-se"
"My bag","Minha sacola"
"Items","Itens"
